Student ID,Student Name,Gender,Age,Class,Section,City,Maths,Science,English,SocialScience,Computer,Total marks,Attendance(%),Result
Std1001,Amit,Male,14,8,B,Chennai,27,76,92,12,64,271,83,Pass
Std1002,Amit,Male,17,8,A,Chennai,64,17,40,3,21,145,84,Fail
Std1003,Priya,Female,11,8,A,Mumbai,58,73,34,26,15,206,50,Pass
Std1006,Priya,Female,14,9,A,Delhi,79,23,47,37,83,269,65,Pass
Std1010,Priya,Female,13,9,B,Delhi,61,88,6,39,81,275,93,Pass
Std1016,Amit,Male,12,8,C,Chennai,70,36,8,33,76,223,61,Pass
Std1017,Amit,Male,14,9,B,Hyderabad,52,17,59,11,6,145,80,Fail
Std1019,Priya,Female,11,10,A,Chennai,2,40,99,69,13,223,72,Pass
Std1021,David,Male,12,9,B,Hyderabad,92,79,41,23,2,237,86,Pass
Std1022,David,Male,14,9,A,Delhi,35,6,11,47,6,105,67,Fail
Std1024,David,Male,10,8,A,Delhi,36,1,58,47,14,156,97,Fail
Std1025,Priya,Female,14,9,A,Chennai,2,62,1,23,53,141,93,Fail
Std1026,Priya,Female,17,8,A,Delhi,64,17,47,57,56,241,62,Pass
Std1033,David,Male,18,8,B,Delhi,67,52,79,34,19,251,66,Pass
Std1034,John,Male,17,9,B,Delhi,19,87,31,72,26,235,63,Pass
Std1042,Sara,Female,14,10,A,Mumbai,0,72,93,85,12,262,56,Pass
Std1044,John,Male,11,10,A,Hyderabad,10,0,97,69,66,242,55,Pass
Std1053,John,Male,10,8,A,Delhi,87,21,44,53,92,297,80,Pass
Std1056,David,Male,18,8,A,Hyderabad,83,72,1,60,36,252,70,Pass
Std1059,Amit,Male,14,10,C,Delhi,11,98,97,60,13,279,67,Pass
Std1060,Priya,Female,12,9,A,Chennai,51,63,84,38,63,299,81,Pass
Std1062,David,Male,16,8,A,Chennai,48,65,94,50,77,334,98,Pass
Std1064,Sara,Female,17,9,B,Mumbai,60,73,39,4,99,275,67,Pass
Std1065,Amit,Male,11,9,A,Mumbai,7,14,13,64,33,131,75,Fail
Std1069,Priya,Female,15,8,A,Delhi,21,46,53,86,90,296,58,Pass
Std1073,David,Male,12,8,B,Delhi,82,97,91,96,5,371,77,Pass
Std1074,Priya,Female,15,8,A,Hyderabad,100,92,35,57,70,354,80,Pass
Std1075,Priya,Female,16,10,A,Delhi,42,56,11,22,63,194,84,Fail
Std1076,Amit,Male,17,9,B,Mumbai,72,69,5,21,26,193,52,Fail
Std1077,Amit,Male,14,10,B,Hyderabad,12,27,29,27,88,183,82,Fail
Std1079,Priya,Female,16,8,A,Delhi,5,13,52,16,42,128,75,Fail
Std1081,John,Male,10,9,C,Chennai,27,83,47,54,0,211,99,Pass
Std1084,Priya,Female,15,9,B,Chennai,60,38,10,55,11,174,57,Fail
Std1086,Amit,Male,15,9,C,Delhi,5,57,12,80,73,227,83,Pass
Std1087,Sara,Female,11,8,C,Mumbai,9,33,64,18,85,209,79,Pass
Std1089,Sara,Female,18,9,A,Chennai,35,11,81,33,19,179,94,Fail
Std1092,John,Male,18,10,C,Delhi,84,99,75,8,65,331,93,Pass
Std1094,John,Male,16,9,B,Hyderabad,22,26,7,49,92,196,74,Fail
Std1095,John,Male,10,8,C,Delhi,40,94,55,71,92,352,87,Pass
Std1097,Priya,Female,18,9,A,Hyderabad,26,88,16,70,32,232,70,Pass
Std1098,John,Male,15,9,C,Chennai,75,44,30,41,82,272,73,Pass
Std1099,Priya,Female,10,9,C,Delhi,18,90,37,35,29,209,89,Pass
Std1100,Priya,Female,17,9,A,Mumbai,96,78,33,66,58,331,66,Pass
Std1102,Amit,Male,17,8,A,Delhi,50,54,50,1,33,188,85,Fail
Std1104,Priya,Female,13,9,A,Hyderabad,38,78,94,89,6,305,65,Pass
Std1106,David,Male,18,10,C,Chennai,72,100,40,75,22,309,80,Pass
Std1109,Priya,Female,17,10,A,Mumbai,49,7,29,53,46,184,73,Fail
Std1112,John,Male,10,10,C,Chennai,42,68,17,19,54,200,77,Pass
Std1115,David,Male,13,9,A,Delhi,94,68,74,75,12,323,94,Pass
Std1122,Amit,Male,11,8,A,Chennai,95,34,40,12,21,202,61,Pass
Std1123,Priya,Female,13,9,A,Mumbai,44,65,52,100,42,303,86,Pass
Std1131,Priya,Female,18,8,A,Delhi,98,35,59,62,43,297,67,Pass
Std1133,Priya,Female,16,9,A,Chennai,76,16,15,77,14,198,65,Fail
Std1135,Priya,Female,17,10,C,Delhi,99,16,20,4,51,190,77,Fail
Std1140,Sara,Female,16,8,A,Delhi,100,31,77,79,61,348,97,Pass
Std1142,John,Male,10,9,C,Delhi,62,86,27,87,83,345,80,Pass
Std1144,Priya,Female,12,9,B,Chennai,45,62,18,51,14,190,50,Fail
Std1146,David,Male,14,8,B,Chennai,48,73,91,50,89,351,76,Pass
Std1148,John,Male,15,10,A,Delhi,23,34,45,88,7,197,58,Fail
Std1149,Priya,Female,18,8,A,Mumbai,87,80,50,30,20,267,90,Pass
Std1151,Sara,Female,10,8,A,Mumbai,84,48,6,95,53,286,84,Pass
Std1152,David,Male,14,8,B,Hyderabad,48,57,86,60,75,326,96,Pass
Std1153,Sara,Female,14,9,C,Chennai,10,9,38,34,61,152,70,Fail
Std1154,John,Male,10,8,C,Delhi,98,81,33,47,72,331,100,Pass
Std1155,Priya,Female,10,8,A,Hyderabad,79,0,22,2,86,189,81,Fail
Std1157,David,Male,17,9,A,Delhi,120,11,51,0,23,205,66,Pass
Std1159,Amit,Male,17,8,B,Chennai,91,65,71,39,48,314,86,Pass
Std1161,Amit,Male,17,8,C,Mumbai,10,35,70,62,45,222,75,Pass
Std1163,Amit,Male,15,10,A,Chennai,19,47,12,87,3,168,94,Fail
Std1164,Priya,Female,18,9,A,Chennai,48,58,59,12,87,264,60,Pass
Std1166,Priya,Female,16,9,B,Delhi,100,41,0,17,16,174,63,Fail
Std1168,Priya,Female,15,9,C,Delhi,19,0,15,95,62,191,66,Fail
Std1169,Sara,Female,13,9,A,Hyderabad,94,99,1,56,14,264,80,Pass
Std1170,David,Male,13,10,C,Delhi,49,93,7,99,52,300,90,Pass
Std1174,David,Male,16,9,A,Chennai,11,81,25,53,33,203,71,Pass
Std1175,Sara,Female,10,8,B,Hyderabad,0,85,51,77,83,296,66,Pass
Std1178,David,Male,16,10,A,Hyderabad,46,8,80,24,90,248,85,Pass
Std1184,Priya,Female,10,8,B,Delhi,23,27,9,97,92,248,76,Pass
Std1190,John,Male,17,9,B,Chennai,52,70,16,20,66,224,86,Pass
Std1191,Amit,Male,11,8,A,Mumbai,13,73,11,8,88,193,86,Fail
Std1192,John,Male,18,9,A,Delhi,3,16,42,39,89,189,91,Fail
Std1193,Sara,Female,17,9,B,Mumbai,11,72,15,90,79,267,91,Pass
Std1194,Priya,Female,10,9,A,Mumbai,45,62,5,64,12,188,84,Fail
Std1195,Sara,Female,12,9,A,Delhi,70,100,59,51,55,335,61,Pass
Std1196,Amit,Male,16,9,C,Delhi,11,43,6,17,84,161,99,Fail
Std1202,Priya,Female,15,8,C,Chennai,1,80,63,24,86,254,81,Pass
Std1204,Amit,Male,16,8,B,Hyderabad,52,58,48,7,49,214,97,Pass
Std1207,John,Male,15,10,B,Delhi,10,20,22,58,78,188,74,Fail
Std1209,Priya,Female,18,8,B,Delhi,71,58,27,46,1,203,68,Pass
Std1211,David,Male,15,8,B,Mumbai,73,54,35,25,20,207,90,Pass
Std1222,John,Male,13,8,A,Delhi,18,32,63,47,35,195,54,Fail
Std1223,Sara,Female,11,9,A,Hyderabad,8,10,52,62,6,138,55,Fail
Std1225,Amit,Male,11,8,A,Chennai,55,85,61,57,28,286,71,Pass
Std1229,John,Male,12,8,A,Chennai,61,50,49,70,51,281,91,Pass
Std1232,Priya,Female,10,9,B,Delhi,46,92,25,20,58,241,67,Pass
Std1233,David,Male,15,8,C,Delhi,32,89,82,33,56,292,88,Pass
Std1234,Amit,Male,10,8,A,Mumbai,31,96,67,95,73,362,91,Pass
Std1235,Amit,Male,14,10,A,Mumbai,92,29,31,88,57,297,75,Pass
Std1236,Priya,Female,15,9,A,Hyderabad,80,54,80,11,11,236,67,Pass
Std1239,Amit,Male,12,10,B,Mumbai,78,90,2,49,40,259,73,Pass
Std1246,Sara,Female,12,9,A,Hyderabad,50,75,100,82,51,358,61,Pass
Std1247,David,Male,12,9,A,Delhi,42,28,62,28,52,212,51,Pass
Std1253,Sara,Female,13,9,C,Chennai,42,89,34,65,0,230,97,Pass
Std1254,Priya,Female,17,8,B,Hyderabad,55,43,23,2,77,200,94,Pass
Std1255,David,Male,10,9,C,Hyderabad,83,15,3,99,79,279,97,Pass
Std1257,Priya,Female,13,9,C,Hyderabad,17,88,76,87,38,306,63,Pass
Std1258,Priya,Female,17,9,A,Mumbai,38,16,28,1,65,148,60,Fail
Std1262,Sara,Female,14,8,C,Delhi,25,49,7,22,85,188,54,Fail
Std1264,Priya,Female,10,9,C,Chennai,40,93,67,1,43,244,85,Pass
Std1269,Amit,Male,12,8,B,Delhi,94,38,20,91,42,285,83,Pass
Std1272,Amit,Male,15,8,B,Delhi,62,99,84,35,79,359,56,Pass
Std1273,John,Male,10,9,B,Mumbai,73,96,30,54,76,329,66,Pass
Std1276,David,Male,16,9,C,Hyderabad,41,86,0,58,84,269,55,Pass
Std1280,Amit,Male,13,8,A,Hyderabad,50,72,28,38,14,202,64,Pass
Std1281,Amit,Male,16,8,A,Delhi,46,1,73,86,12,218,65,Pass
Std1283,Priya,Female,11,8,C,Delhi,72,83,45,79,84,363,68,Pass
Std1284,Amit,Male,13,10,B,Delhi,25,21,22,50,28,146,78,Fail
Std1286,Amit,Male,10,9,A,Chennai,69,44,30,13,43,199,58,Fail
Std1289,John,Male,14,9,A,Delhi,98,80,94,84,37,393,60,Pass
Std1291,David,Male,10,10,C,Mumbai,3,19,45,71,66,204,52,Pass
Std1294,Priya,Female,14,8,B,Hyderabad,90,87,90,77,13,357,70,Pass
Std1295,Sara,Female,10,8,A,Delhi,26,56,89,36,5,212,80,Pass
Std1296,Priya,Female,10,10,C,Mumbai,56,27,45,38,21,187,79,Fail
Std1298,Priya,Female,10,8,A,Delhi,37,12,72,13,17,151,67,Fail
Std1299,Priya,Female,10,9,A,Mumbai,88,17,18,61,91,275,85,Pass
Std1300,David,Male,17,8,B,Mumbai,8,96,72,8,95,279,78,Pass
Std1301,David,Male,14,9,A,Delhi,0,15,24,43,92,174,58,Fail
Std1302,Sara,Female,13,9,A,Mumbai,0,75,63,35,52,225,94,Pass
Std1308,Priya,Female,10,8,B,Delhi,38,0,11,91,15,155,90,Fail
Std1313,John,Male,12,9,B,Delhi,91,10,2,66,24,193,83,Fail
Std1318,Priya,Female,10,9,C,Delhi,57,92,78,51,53,331,72,Pass
Std1319,Amit,Male,14,8,B,Chennai,76,77,25,84,5,267,80,Pass
Std1320,Priya,Female,17,8,A,Delhi,61,36,16,40,81,234,84,Pass
Std1323,Amit,Male,15,9,A,Chennai,68,3,22,92,15,200,55,Pass
Std1325,Sara,Female,11,9,B,Delhi,88,38,7,83,57,273,69,Pass
Std1327,John,Male,15,9,A,Chennai,69,66,18,37,84,274,76,Pass
Std1333,Priya,Female,15,9,B,Delhi,76,37,67,4,67,251,83,Pass
Std1334,David,Male,18,9,C,Hyderabad,81,82,46,74,94,377,200,Pass
Std1336,Priya,Female,14,9,C,Chennai,13,100,47,73,70,303,58,Pass
Std1337,Sara,Female,12,10,B,Mumbai,98,0,90,24,55,267,72,Pass
Std1338,Priya,Female,14,10,B,Delhi,31,30,84,43,74,262,68,Pass
Std1339,John,Male,17,10,A,Delhi,84,63,50,92,61,350,80,Pass
Std1341,Priya,Female,15,8,A,Delhi,45,14,12,28,99,198,50,Fail
Std1344,Sara,Female,11,9,A,Hyderabad,78,81,41,81,74,355,98,Pass
Std1355,Amit,Male,14,10,A,Hyderabad,13,46,90,37,49,235,50,Pass
Std1359,Priya,Female,15,9,A,Hyderabad,28,97,100,94,97,416,76,Pass
Std1362,Sara,Female,14,8,A,Hyderabad,66,9,85,71,50,281,75,Pass
Std1363,Priya,Female,10,9,A,Delhi,71,2,75,97,43,288,65,Pass
Std1367,Priya,Female,11,10,C,Delhi,28,33,93,83,17,254,91,Pass
Std1370,Sara,Female,17,8,A,Delhi,50,7,16,45,89,207,64,Pass
Std1384,Priya,Female,11,8,C,Chennai,10,81,28,6,79,204,68,Pass
Std1389,David,Male,17,9,A,Mumbai,39,35,18,9,86,187,67,Fail
Std1390,Priya,Female,11,8,A,Chennai,43,10,42,60,16,171,76,Fail
Std1395,Amit,Male,16,10,B,Mumbai,61,19,40,48,69,237,68,Pass
Std1402,Priya,Female,12,9,A,Delhi,57,83,93,25,45,303,94,Pass
Std1403,Amit,Male,16,9,A,Hyderabad,40,87,42,43,71,283,89,Pass
Std1409,David,Male,14,8,B,Delhi,2,93,88,91,53,327,53,Pass
Std1413,Priya,Female,17,10,C,Hyderabad,86,11,100,62,36,295,56,Pass
Std1416,David,Male,15,9,B,Delhi,94,58,0,22,66,240,58,Pass
Std1419,David,Male,15,9,C,Hyderabad,22,7,56,7,48,140,96,Fail
Std1428,John,Male,17,10,A,Chennai,51,90,48,97,20,306,76,Pass
Std1429,John,Male,11,9,A,Chennai,80,17,12,20,36,165,69,Fail
Std1435,John,Male,10,9,C,Mumbai,50,66,87,16,100,319,94,Pass
Std1439,Priya,Female,12,9,C,Delhi,25,33,9,54,69,190,55,Fail
Std1442,John,Male,11,9,B,Hyderabad,54,16,2,61,57,190,53,Fail
Std1445,Amit,Male,10,9,A,Delhi,90,34,13,4,86,227,75,Pass
Std1450,Amit,Male,10,9,B,Delhi,90,42,20,1,82,235,62,Pass
Std1454,John,Male,12,9,A,Hyderabad,13,8,11,24,65,121,50,Fail
Std1455,Priya,Female,18,9,B,Chennai,120,33,43,2,100,298,57,Pass
Std1456,John,Male,14,9,A,Delhi,68,91,76,86,0,321,99,Pass
