Student ID,Student Name,Gender,Age,Class,Section,City,Maths,Science,English,SocialScience,Computer,Column1,Attendance(%),Result
Std1000,Priya,Female,14,9,A,,1,53,53,25,75,207,72,Pass
Std1001,Amit,Male,14,8,B,Chennai,27,76,92,12,64,271,83,Fail
Std1002,Amit,Male,17,8,A,Chennai,64,17,40,3,21,145,84,Pass
Std1003,Priya,Female,11,8,A,Mumbai,58,73,34,26,15,206,50,Pass
Std1004,John,Male,,10,,Delhi,47,49,9,21,46,172,94,
Std1005,Priya,Female,13,9,A,,7,54,73,81,91,306,66,Fail
Std1006,Priya,Female,14,9,A,Delhi,79,23,47,37,83,269,65,Pass
Std1007,Priya,Female,,8,A,Hyderabad,81,62,15,10,,168,68,Pass
Std1008,Priya,Male,10,9,C,Hyderabad,85,81,64,60,4,294,55,
Std1009,Amit,Female,,10,B,Chennai,78,68,86,14,48,294,75,Fail
Std1010,Priya,Female,13,9,B,Delhi,61,88,6,39,81,275,93,Pass
Std1011,Priya,Female,16,9,,Chennai,84,82,22,100,32,320,97,Pass
Std1012,David,Female,11,9,,Mumbai,62,22,28,50,98,260,200,Fail
Std1013,Amit,Male,18,9,,Chennai,2,71,66,60,68,267,71,Fail
Std1014,David,Male,13,8,A,,0,21,5,62,79,167,54,
Std1015,Sara,Male,,10,A,Mumbai,68,62,51,84,6,271,85,Pass
Std1016,Amit,Male,12,8,C,Chennai,70,36,8,33,76,223,61,Pass
Std1017,Amit,Male,14,9,B,Hyderabad,52,17,59,11,6,145,80,Pass
Std1018,Amit,Male,12,9,C,,1,23,36,82,84,226,70,Pass
Std1019,Priya,Female,11,10,A,Chennai,2,40,99,69,13,223,72,Pass
Std1020,Priya,Female,10,8,A,,67,57,39,49,83,295,63,Fail
Std1021,David,Male,12,9,B,Hyderabad,92,79,41,23,2,237,86,Pass
Std1022,David,Male,14,9,A,Delhi,35,6,11,47,6,105,67,Fail
Std1023,Amit,Male,10,8,,Delhi,68,45,70,48,88,319,61,
Std1024,David,Male,10,8,A,Delhi,36,1,58,47,14,156,97,Fail
Std1025,Priya,Female,14,9,A,Chennai,2,62,1,23,53,141,93,Pass
Std1026,Priya,Female,17,8,A,Delhi,64,17,47,57,56,241,62,Pass
Std1027,Priya,Female,11,9,A,,89,24,25,5,48,191,81,
Std1028,Priya,Female,17,9,,Chennai,86,49,37,33,15,220,97,Fail
Std1029,David,Male,14,9,,Delhi,55,71,72,56,70,324,62,Pass
Std1030,Sara,Female,16,9,A,Mumbai,22,64,100,59,32,277,65,
Std1031,Priya,Female,14,9,,Delhi,13,83,38,33,60,227,97,Pass
Std1032,Sara,Female,18,8,,,12,63,94,28,89,286,65,Fail
Std1033,David,Male,18,8,B,Delhi,67,52,79,34,19,251,66,Pass
Std1034,John,Male,17,9,B,Delhi,19,87,31,72,26,235,63,Pass
Std1035,,Unknown,17,8,C,Delhi,30,62,59,7,88,246,64,
Std1036,,Female,11,10,A,Mumbai,24,53,47,19,87,230,62,
Std1037,Amit,Unknown,10,8,A,,79,90,75,96,80,420,65,Pass
Std1038,,Female,10,8,,Delhi,67,56,63,89,1,276,89,
Std1039,,Female,16,8,C,Delhi,32,62,98,85,38,315,72,Fail
Std1040,Priya,Female,15,9,B,,45,21,99,12,53,230,59,Fail
Std1041,Priya,Female,10,8,,Delhi,34,10,25,10,84,163,99,Pass
Std1042,Sara,Female,14,10,A,Mumbai,,72,93,85,12,262,56,Pass
Std1043,John,Male,10,8,B,Mumbai,50,3,69,44,84,250,57,
Std1044,John,Male,11,10,A,Hyderabad,10,,97,69,66,242,55,Pass
Std1045,Priya,Female,13,9,,Chennai,47,97,,52,34,230,93,Fail
Std1046,Priya,Female,,10,C,,51,28,31,96,79,285,92,Pass
Std1047,,Female,10,10,A,Hyderabad,58,37,19,75,77,266,81,Fail
Std1048,John,Male,10,9,,Mumbai,72,4,0,29,89,194,89,
Std1049,Amit,Male,10,8,,,31,35,52,70,17,205,50,Pass
Std1050,Amit,Male,,8,,Delhi,89,28,3,7,53,180,98,Pass
Std1051,Sara,Female,14,8,,Mumbai,28,68,29,49,13,187,84,Pass
Std1052,Amit,Male,10,8,,Delhi,38,36,69,66,65,274,52,
Std1053,John,Male,10,8,A,Delhi,87,21,44,53,92,297,80,Pass
Std1054,,Female,12,8,A,Hyderabad,10,99,81,68,79,337,73,
Std1055,John,Male,17,8,A,,83,58,88,87,15,331,89,Fail
Std1056,David,Male,18,8,A,Hyderabad,83,72,1,60,36,252,70,Pass
Std1057,John,Male,,8,A,Hyderabad,97,95,42,73,14,321,81,Pass
Std1058,,Male,17,8,C,,4,98,0,30,100,232,86,Fail
Std1059,Amit,Female,14,10,C,Delhi,11,98,97,60,13,279,67,Pass
Std1060,Priya,Female,12,9,A,Chennai,51,63,84,38,63,299,81,Pass
Std1061,Sara,Female,10,9,C,Chennai,48,70,48,10,25,201,61,
Std1062,David,Male,16,8,A,Chennai,48,65,94,50,77,334,98,Fail
Std1063,Amit,Male,,9,C,,70,14,93,91,25,293,82,
Std1064,Sara,Female,17,9,B,Mumbai,60,73,39,4,99,275,67,Fail
Std1065,Amit,Male,11,9,A,Mumbai,7,14,13,64,33,131,75,Pass
Std1066,David,Male,17,10,,,81,34,26,73,66,280,64,Pass
Std1067,John,Male,15,8,C,Delhi,1,99,67,66,25,258,98,
Std1068,,Male,16,8,B,Delhi,89,69,30,73,45,306,86,Pass
Std1069,Priya,Female,15,8,A,Delhi,21,46,53,86,90,296,58,Pass
Std1070,David,Male,15,10,C,,10,69,62,79,52,272,53,Pass
Std1071,,Unknown,,9,,,63,96,7,18,37,221,83,Pass
Std1072,John,Male,11,8,C,Mumbai,55,5,18,15,20,113,,Pass
Std1073,David,Male,12,8,B,Delhi,82,97,91,96,5,371,77,Fail
Std1074,Priya,Female,15,8,A,Hyderabad,100,92,35,57,70,354,80,Fail
Std1075,Priya,Female,16,10,A,Delhi,42,56,11,22,63,194,84,Pass
Std1076,Amit,Male,17,9,B,Mumbai,72,69,5,21,26,193,52,Fail
Std1077,Amit,Male,14,10,B,Hyderabad,12,27,29,27,88,183,82,Pass
Std1078,Priya,Female,,10,A,Hyderabad,67,54,66,24,61,272,72,
Std1079,Priya,Female,16,8,A,Delhi,5,13,52,16,42,128,75,Fail
